Gene,Category
PLIN1,Lipid
PLIN2,Lipid
PLIN3,Lipid
PLIN4,Lipid
CPT1A,Lipid
CPT1C,Lipid
CPT2,Lipid
ACADVL,Lipid
HADHA,Lipid
HADHB,Lipid
FASN,Lipid
ACACA,Lipid
ACACB,Lipid
SCD,Lipid
SCD5,Lipid
ACLY,Lipid
CD36,Lipid
FABP3,Lipid
FABP4,Lipid
FABP5,Lipid
FABP7,Lipid
ACSL1,Lipid
ACSL3,Lipid
ACSL4,Lipid
ACSL5,Lipid
HSPA5,Lipid
ATF6,Lipid
ERN1,Lipid
SREBF1,Lipid
SREBF2,Lipid
SCAP,Lipid
HMGCR,Lipid
HMGCS1,Lipid
LDLR,Lipid
SCARB1,Lipid
NPC1,Lipid
SOAT1,Lipid
DGAT1,Lipid
GPAM,Lipid
AGPAT2,Lipid
PNPLA2,Lipid
LIPE,Lipid
MGLL,Lipid
ABHD5,Lipid
TFAM,Lipid
NRF1,Lipid
ESRRA,Lipid
